"Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat","bas_val","ext_xmin","ext_xmax","ext_ymin","ext_ymax","HRT_sec","T_AIR","HRT","Wind","basin_id"
1357887,NA,"Moldova","Europe","SWBD",1,0,0.78,5.39,1.73,2.04,0,3,2.6,237.984,0.1,2,0.89,28312.7,28.14542,45.569823,1,28.1417966037326,28.1536406792534,45.5681944444444,45.5828491210935,1296000,10.5195283889771,1296000,4.14860963821411,"danube"
1357899,NA,"Romania","Europe","SWBD",1,0,0.56,4.8,1.8,6.13,0,3,10.8,1.076,65.9,1092,18.64,106.6,25.092554,45.566075,1,25.0705608495073,25.093619910346,45.5654166666665,45.5731616210936,854064000,8.37485599517822,854064000,3.26424837112427,"danube"
1357916,NA,"Croatia","Europe","SWBD",1,0,0.8,4.33,1.37,1.47,0,3,1.8,4.109,4.1,106,0.42,239.6,15.625802,45.561825,1,15.6138180881083,15.6275745307079,45.5606944444444,45.5715231662326,53136000,11.5568475723267,53136000,3.72574830055237,"danube"
1357917,NA,"Croatia","Europe","SWBD",1,0,0.43,3.87,1.66,1.16,0,3,2.7,5.735,2.3,106,1.11,712.9,16.950375,45.561897,1,16.9455608452697,16.9556412760423,45.56125,45.5724945746528,29808000,11.6805477142334,29808000,3.90180397033691,"danube"
1357922,NA,"Romania","Europe","SWBD",1,0,0.95,4.95,1.43,3.54,0,3,3.7,3.278,12.5,382,1.71,438.9,22.893756,45.5604,1,22.8804969618055,22.9008493381075,45.5487500000002,45.5634689670142,1.62e+08,8.57011222839355,1.62e+08,3.34527611732483,"danube"
1357929,NA,"Croatia","Europe","SWBD",1,0,0.66,5.31,1.85,1.53,0,3,2.3,0.031,571.6,107,0.73,1.8,15.616016,45.558848,1,15.6067824978304,15.6291588677306,45.55125,45.5594365776909,7407936000,11.5568475723267,7407936000,3.72574830055237,"danube"
1357942,NA,"Croatia","Europe","SWBD",1,0,0.26,2.13,1.18,0.52,0,3,2,0.349,17.3,105,0.72,51.1,17.985202,45.556438,1,17.9783487955737,17.9881266276049,45.5540277777778,45.5587171766492,224208000,11.6805477142334,224208000,3.90180397033691,"danube"
1357964,NA,"Croatia","Europe","SWBD",1,0,0.19,2.52,1.63,0.33,0,3,1.8,4.357,0.9,107,0.6,254.5,15.633755,45.551166,1,15.6285916476784,15.6344416639545,45.5495833333333,45.5572195095485,11664000,11.5568475723267,11664000,3.72574830055237,"danube"
1357985,NA,"Croatia","Europe","SWBD",1,0,0.81,5.51,1.73,2.3,0,3,2.9,5.833,4.6,106,1.05,724,16.946801,45.545041,1,16.9445406087245,16.9544291178391,45.5437499999999,45.5604348415798,59616000,11.6805477142334,59616000,3.90180397033691,"danube"
1357996,NA,"Romania","Europe","SWBD",1,0,0.58,6.48,2.39,1.11,0,3,1.9,0.227,56.6,92,0.5,75.8,21.336529,45.543256,1,21.3336164008246,21.3474947102862,45.5423611111114,45.5546869574656,733536000,8.57011222839355,733536000,3.34527611732483,"danube"
1358043,NA,"Romania","Europe","SWBD",1,0,0.74,6.97,2.29,1.5,0,3,2,238.178,0.1,3,0.53,28380.4,28.161458,45.530374,1,28.1538943142361,28.1639046223958,45.5195833333332,45.5433279079859,1296000,10.5195283889771,1296000,4.14860963821411,"danube"
1358049,NA,"Ukraine","Europe","SWBD",1,0,0.11,1.96,1.66,0.22,0,3,2,0.036,72,56,0.95,14.1,28.704496,45.528907,1,28.7032893880209,28.7074628363715,45.5284722222222,45.535892469618,933120000,10.5195283889771,933120000,4.14860963821411,"danube"
1358052,NA,"Moldova","Europe","SWBD",1,0,0.54,3.14,1.2,2.1,0,3,3.9,1.725,14.1,1,2.21,603.9,28.423437,45.527538,1,28.4215660264757,28.430970594618,45.5256944444443,45.5369341362846,182736000,10.5195283889771,182736000,4.14860963821411,"danube"
1358054,NA,"Republic of Serbia","Europe","SWBD",1,0,0.3,3.18,1.64,0.45,0,3,1.5,4.259,1.2,79,0.38,1642.2,19.217716,45.527221,1,19.2127883572056,19.2186892361119,45.5243055555555,45.5369338650173,15552000,10.4501285552979,15552000,3.70255374908447,"danube"
1358093,NA,"Republic of Serbia","Europe","SWBD",1,0,0.48,3.84,1.56,0.67,0,3,1.4,4.292,1.8,79,0.28,1652.1,19.207397,45.516378,1,19.2052804904523,19.2153390842022,45.5159722222222,45.5280528428819,23328000,10.4501285552979,23328000,3.70255374908447,"danube"
1358102,NA,"Romania","Europe","SWBD",1,0,0.42,2.96,1.28,1.16,0,3,2.7,3.101,4.3,458,1.17,412.6,22.850671,45.513581,1,22.844903157552,22.8527080620659,45.5051388888892,45.5155452473962,55728000,8.57011222839355,55728000,3.34527611732483,"danube"
1358204,NA,"Ukraine","Europe","SWBD",1,0,0.42,2.73,1.18,0.51,0,3,1.2,0.023,258.3,-1,0.21,21.4,29.16875,45.489583,1,29.1636265733508,29.1734459092882,45.4843055555555,45.4929763454861,3347568000,12.4668197631836,3347568000,NA,"danube"
1358235,NA,"Croatia","Europe","SWBD",1,0,0.38,4.12,1.89,2.2,0,3,5.8,0.089,285.5,127,5.78,13.7,18.117496,45.483896,1,18.1083412000875,18.1208254665806,45.4701388888888,45.4847007921006,3700080000,11.6805477142334,3700080000,3.90180397033691,"danube"
1358326,NA,"Ukraine","Europe","SWBD",1,0,0.58,6.35,2.36,2.48,0,3,4.3,0.209,137.2,18,2.71,93.8,28.804335,45.46267,1,28.7859152560764,28.8045187717014,45.4587499999999,45.4813810221352,1778112000,12.4668197631836,1778112000,NA,"danube"
1358425,NA,"Republic of Serbia","Europe","SWBD",1,0,0.76,3.57,1.15,1.06,0,3,1.4,1.394,8.8,76,0.24,475.2,19.557364,45.441211,1,19.5519523111987,19.5680002170147,45.4395833333332,45.4483257378472,114048000,10.4501285552979,114048000,3.70255374908447,"danube"
1358443,NA,"Romania","Europe","SWBD",1,0,0.84,5.99,1.85,5.02,0,3,6,0.521,111.6,4,4.8,178.4,27.940997,45.437338,1,27.9388831922742,27.9459526909721,45.4370833333331,45.4608688693575,1446336000,10.5195283889771,1446336000,4.14860963821411,"danube"
1358476,NA,"Croatia","Europe","SWBD",1,0,0.45,2.62,1.1,1.12,0,3,2.5,14.124,0.9,95,0.94,1679.4,16.824109,45.430152,1,16.8205708821621,16.8313735622837,45.4234722222221,45.4316878255207,11664000,11.6805477142334,11664000,3.90180397033691,"danube"
1358492,NA,"Romania","Europe","SWBD",2,3857,0.63,5.87,2.09,96,96,2,152.1,1.555,714.5,572,17.68,209,22.477936,45.426045,1,22.4763916015624,22.5087106662325,45.4190277777781,45.4272195095489,9259920000,8.57011222839355,9259920000,3.34527611732483,"danube"
1358504,NA,"Croatia","Europe","SWBD",1,0,0.86,5.01,1.52,2.61,0,3,3,0.332,91,94,1.15,34.7,16.832294,45.422519,1,16.8291769748271,16.8511008029521,45.4109722222221,45.4240565321181,1179360000,11.6805477142334,1179360000,3.90180397033691,"danube"
1358522,NA,"Ukraine","Europe","SWBD",1,0,0.15,1.57,1.15,0.12,0,3,0.8,6746.246,0.1,0,0.12,786257.1,29.471108,45.420948,1,29.4648472764759,29.4719316948787,45.4179166666666,45.4218983289929,1296000,12.4668197631836,1296000,NA,"danube"
1358530,NA,"Romania","Europe","SWBD",1,0,0.58,4.78,1.77,0.67,0,3,1.2,0.028,278.2,-1,0.18,26.7,29.357292,45.41875,1,29.3447249348959,29.3592065429689,45.4129166666665,45.4219417317706,3605472000,12.4668197631836,3605472000,NA,"danube"
1358536,NA,"Romania","Europe","SWBD",1,0,0.25,2.11,1.19,0.59,0,3,2.3,0.278,24.5,57,1,58.1,27.153125,45.418488,1,27.1497812228732,27.1570071072047,45.4140277777778,45.4211035156248,317520000,10.5195283889771,317520000,4.14860963821411,"danube"
1358577,NA,"Romania","Europe","SWBD",1,0,0.35,3.37,1.6,1.65,0,3,4.7,0.181,105.3,5,3.77,61.1,27.997997,45.411296,1,27.995283203125,28.0010104709201,45.409831814236,45.4216834852429,1364688000,10.5195283889771,1364688000,4.14860963821411,"danube"
1358579,NA,"Romania","Europe","SWBD",1,0,0.62,3.36,1.2,2.64,0,3,4.3,0.542,56.4,6,2.6,185.4,27.947944,45.41086,1,27.945514594184,27.9544417317709,45.4091693793401,45.4190668402776,730944000,10.5195283889771,730944000,4.14860963821411,"danube"
1358585,NA,"Romania","Europe","SWBD",1,0,0.27,2.94,1.6,0.29,0,3,1.1,0.025,135.5,-1,0.2,24.1,29.352083,45.409548,1,29.344737684462,29.3548239474826,45.4051388888888,45.411929253472,1756080000,12.4668197631836,1756080000,NA,"danube"
1358683,NA,"Croatia","Europe","SWBD",1,0,0.77,7.87,2.53,5.58,0,3,7.2,0.148,436,146,7.26,21.9,18.189583,45.390128,1,18.1761189778653,18.1945784505215,45.3684722222221,45.3923323567707,5650560000,11.6805477142334,5650560000,3.90180397033691,"danube"
