"ID","x","y","ID_nxt","Down_type","T_AIR","Wind","line_node","lake_out","lake_in","slope","Pt_type","Dist_down","dist_nxt","HL_ID_new","uwwID","rptMStateK","uwwCode","uwwName","uwwCollect","uwwLatit_1","uwwLongi_1","uwwLoadEnt","uwwCapacit","uwwPrimary","uwwSeconda","f_STP","F_direct","basin_id","LD_new","aggID","uwwOtherTr","uwwNRemova","uwwPRemova","uwwUV","uwwChlorin","uwwOzonati","uwwSandFil","uwwMicroFi","uwwOther","uwwSpecifi","aggCode","aggName","aggLatit_1","aggLongi_1","aggGenerat","snap_dist","stop","Freq","flow_acc","pH"
"P_00001",22.3041666666667,61.1375,"P_00002","node",6.06152153015137,6.19888734817505,NA,0,0,2.24000000953674,"START",75773.2667133873,1031.45166313343,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6
"P_00002",22.3125,61.1291666666667,"P_00003","node",6.06152153015137,6.19888734817505,NA,0,0,2.04999995231628,"node",74741.8150502538,1031.50211626178,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"P_00003",22.3208333333333,61.1208333333333,"P_00004","node",6.06152153015137,6.19888734817505,NA,0,0,1.36000001430511,"node",73710.3129339921,1031.55257610097,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"P_00004",22.3291666666667,61.1125,"P_00005","node",6.06152153015137,6.19888734817505,NA,0,0,1.53999996185303,"node",72678.7603578911,928.590928822682,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"P_00005",22.3291666666667,61.1041666666667,"P_00006","node",6.06152153015137,6.19888734817505,NA,0,0,1.71000003814697,"node",71750.1694290684,928.589775411111,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"P_00006",22.3291666666667,61.0958333333333,"P_00007","node",6.06152153015137,6.19888734817505,NA,0,0,1.48000001907349,"node",70821.5796536573,928.588621783401,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"P_00007",22.3291666666667,61.0875,"P_00008","node",6.06152153015137,6.19888734817505,NA,0,0,1.49000000953674,"node",69892.9910318739,928.587467949139,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"P_00008",22.3291666666667,61.0791666666667,"P_00054","JNCT",6.06152153015137,6.19888734817505,NA,0,0,1.67999994754791,"node",68964.4035639248,1031.8049757766,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"P_00010",22.1541666666667,61.0708333333333,"L_00001_1146_2","LAKE",6.06152153015137,6.19888734817505,NA,0,1,2.13000011444092,"START",57126.6986431944,495.132054353121,1146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6
"L_00001_1146_2",22.1501678964271,61.0668345630937,"P_00011","node",6.06152153015137,6.19888734817505,NA,0,1,2.13000011444092,"Hydro_Lake",56631.5665888413,536.723423131018,1146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"P_00011",22.1458333333333,61.0625,"P_00012","node",6.06152153015137,6.19888734817505,NA,0,0,1.3400000333786,"node",56094.8431657103,1031.90598243499,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"P_00012",22.1375,61.0541666666667,"P_00110","JNCT",6.06152153015137,6.19888734817505,NA,0,0,1.42999994754791,"node",55062.9371832753,1031.95649576909,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"P_00014",22.3541666666667,61.0708333333333,"P_00054","JNCT",6.06152153015137,6.19888734817505,NA,0,0,2.0699999332428,"START",68832.3811075094,899.782519361288,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6
"P_00016",21.9125,61.0541666666667,"P_00017","node",6.06152153015137,6.19888734817505,NA,0,0,1.25,"START",33712.5956392459,450.127650594403,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6
"P_00017",21.9041666666667,61.0541666666667,"P_00018","node",6.06152153015137,6.19888734817505,NA,0,0,0.980000019073486,"node",33262.4679886515,450.127650594019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"P_00018",21.8958333333333,61.0541666666667,"L_00001_154932_4","LAKE",6.06152153015137,6.19888734817505,NA,0,0,0.879999995231628,"node",32812.3403380575,958.309640681491,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"L_00001_154932_4",21.8780918911428,61.0541666666667,"P_00019","node",6.06152153015137,6.19888734817505,NA,0,1,0.899999976158142,"Hydro_Lake",31854.030697376,508.18199227799,154932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"P_00019",21.8875,61.0541666666667,"P_00020","node",6.06152153015137,6.19888734817505,NA,0,1,1.16999995708466,"node",31345.848705098,450.127650594594,154932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"P_00020",21.8791666666667,61.0541666666667,"L_00002_154932_4","LAKE",6.06152153015137,6.19888734817505,NA,0,1,0.899999976158142,"node",30895.7210545034,476.188518706027,154932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"L_00002_154932_4",21.8879824718076,61.0541666666667,"P_00080","JNCT",6.06152153015137,6.19888734817505,NA,1,0,1.16999995708466,"Hydro_Lake",30419.5325357974,926.31616731598,154932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6
"P_00022",21.9041666666667,61.0208333333333,"P_00143","JNCT",6.06152153015137,6.19888734817505,NA,0,0,1.23000001907349,"START",35937.0399887022,928.579385279057,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000419_1036401_sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6
