"Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","HRT","T_AIR","HRT_sec","Wind","basin_id","Pour_long","Pour_lat"
1362489,NA,"France","Europe","SWBD",1,0,0.58,3.19,1.18,1.98,0,3,3.4,135.95,0.2,4,1.69,7814.8,17280,11.7142372131348,17280,7,"206520",-1.109786,43.693429
1362506,NA,"France","Europe","SWBD",1,0,0.51,3.04,1.2,1.84,0,3,3.6,136.243,0.2,2,1.97,7823.5,17280,11.7142372131348,17280,7,"206520",-1.125832,43.68684
1362517,NA,"France","Europe","SWBD",1,0,0.33,3,1.47,2.13,0,3,6.4,0.434,56.7,115,7.33,24.2,4898880,11.7142372131348,4898880,7,"206520",-0.288469,43.680736
1362548,NA,"France","Europe","SWBD",1,0,0.22,1.78,1.08,0.38,0,3,1.8,26.688,0.2,4,0.57,1147,17280,11.7142372131348,17280,7,"206520",-1.118275,43.658894
1362572,NA,"France","Europe","SWBD",1,0,0.17,2.11,1.44,0.4,0,3,2.4,0.686,6.8,5,1.14,25.8,587520,11.7142372131348,587520,7,"206520",-1.187953,43.650671
1362574,NA,"France","Europe","SWBD",1,0,0.27,2.19,1.2,0.73,0,3,2.7,168.126,0.1,4,1.36,9150.8,8640,11.7142372131348,8640,7,"206520",-1.204609,43.649808
1362609,NA,"France","Europe","SWBD",1,0,0.33,2.91,1.43,0.92,0,3,2.8,168.3,0.1,4,1.3,9154.9,8640,11.7142372131348,8640,7,"206520",-1.219792,43.636732
1362615,NA,"France","Europe","SWBD",1,0,0.12,2.07,1.69,0.17,0,3,1.4,24.412,0.1,121,0.46,1294.4,8640,11.7142372131348,8640,7,"206520",-0.015625,43.635302
1362956,NA,"France","Europe","SWBD",1,0,0.34,2.99,1.46,0.67,0,3,2,53.151,0.1,62,0.66,2462.2,8640,11.7142372131348,8640,7,"206520",-0.756069,43.475286
1363046,NA,"France","Europe","SWBD",1,0,0.56,3.83,1.45,1.61,0,3,2.9,1.086,17.1,150,1.19,46.2,1477440,11.7142372131348,1477440,7,"206520",-0.464583,43.433539
1363136,NA,"France","Europe","SWBD",1,0,0.16,2.32,1.65,0.27,0,3,1.7,9.104,0.3,220,0.58,490.2,25920,11.7142372131348,25920,7,"206520",0.088299,43.379973
